Bill Number,Subject,Parliament,Parliament Number,Session Number,Session Date,Parsed Session Date,Bill Type,Sponsor,Current Status,Latest Activity
Senate bill S-1,An Act relating to railways,"45th Parliament, 1st session",45,1,"May 26, 2025 to present",2025-05-26,Senate Public Bill,Sen. Judith Seidman,Introduced as pro forma bill,"Introduction and first reading on May 27, 2025 (Senate)"
Senate bill S-1,An Act relating to railways,"44th Parliament, 1st session",44,1,"November 22, 2021 to January 6, 2025",2021-11-22,Senate Public Bill,Sen. Yuen Pau Woo,Introduced as pro forma bill,"Introduction and first reading on November 23, 2021 (Senate)"
Senate bill S-1,An Act relating to railways,"43rd Parliament, 2nd session",43,1,"September 23, 2020 to August 15, 2021",2020-09-23,Senate Public Bill,Sen. Marc Gold,Introduced as pro forma bill,"Introduction and first reading on September 23, 2020 (Senate)"
Senate bill S-1,An Act relating to railways,"43rd Parliament, 1st session",43,1,"December 5, 2019 to August 18, 2020",2019-12-05,Senate Public Bill,Sen. Joseph A. Day,Introduced as pro forma bill,"Introduction and first reading on December 5, 2019 (Senate)"
Senate bill S-1,An Act relating to railways,"42nd Parliament, 1st session",42,1,"December 3, 2015 to September 11, 2019",2015-12-03,Senate Public Bill,Sen. Yonah Martin,Introduced as pro forma bill,"Introduction and first reading on December 4, 2015 (Senate)"
Senate bill S-1,An Act relating to railways,"41st Parliament, 2nd session",41,1,"October 16, 2013 to August 2, 2015",2013-10-16,Senate Government Bill,Sen. Claude Carignan,Introduced as pro forma bill,"Introduction and first reading on October 16, 2013 (Senate)"
Senate bill S-1,An Act relating to railways,"41st Parliament, 1st session",41,1,"June 2, 2011 to September 13, 2013",2011-06-02,Senate Government Bill,Sen. Marjory LeBreton,Introduced as pro forma bill,"Introduction and first reading on June 3, 2011 (Senate)"
Senate bill S-1,An Act relating to railways,"40th Parliament, 3rd session",40,1,"March 3, 2010 to March 26, 2011",2010-03-03,Senate Government Bill,Sen. Marjory LeBreton,Introduced as pro forma bill,"Introduction and first reading on March 3, 2010 (Senate)"
Senate bill S-1,An Act relating to railways,"40th Parliament, 2nd session",40,1,"January 26, 2009 to December 30, 2009",2009-01-26,Senate Government Bill,Sen. Marjory LeBreton,Introduced as pro forma bill,"Introduction and first reading on January 26, 2009 (Senate)"
Senate bill S-1,An Act relating to railways,"40th Parliament, 1st session",40,1,"November 18, 2008 to December 4, 2008",2008-11-18,Senate Government Bill,Sen. Marjory LeBreton,Introduced as pro forma bill,"Introduction and first reading on November 19, 2008 (Senate)"
Senate bill S-1,An Act relating to railways,"39th Parliament, 2nd session",39,1,"October 16, 2007 to September 7, 2008",2007-10-16,Senate Government Bill,Sen. Marjory LeBreton,Introduced as pro forma bill,"Introduction and first reading on October 16, 2007 (Senate)"
Senate bill S-1,An Act relating to Railways,"39th Parliament, 1st session",39,1,"April 3, 2006 to September 14, 2007",2006-04-03,Senate Government Bill,Sen. Marjory LeBreton,Introduced as pro forma bill,"Introduction and first reading on April 4, 2006 (Senate)"
Senate bill S-1,An Act relating to railways,"38th Parliament, 1st session",38,1,"October 4, 2004 to November 29, 2005",2004-10-04,Senate Government Bill,Sen. William Rompkey,Introduced as pro forma bill,"Introduction and first reading on October 5, 2004 (Senate)"
Senate bill S-1,An Act relating to railways,"37th Parliament, 3rd session",37,1,"February 2, 2004 to May 23, 2004",2004-02-02,Senate Government Bill,Sen. William Rompkey,Introduced as pro forma bill,"Introduction and first reading on February 2, 2004 (Senate)"
Senate bill S-1,An Act relating to railways,"37th Parliament, 2nd session",37,1,"September 30, 2002 to November 12, 2003",2002-09-30,Senate Government Bill,Sen. Sharon Carstairs,Introduced as pro forma bill,"Introduction and first reading on September 30, 2002 (Senate)"
Senate bill S-1,An Act relating to railways,"37th Parliament, 1st session",37,1,"January 29, 2001 to September 16, 2002",2001-01-29,Senate Government Bill,Sen. Sharon Carstairs,Introduced as pro forma bill,"Introduction and first reading on January 30, 2001 (Senate)"
Senate bill S-1,An Act relating to railways,"36th Parliament, 2nd session",36,1,"October 12, 1999 to October 22, 2000",1999-10-12,Senate Government Bill,Sen. Daniel Hays,Introduced as pro forma bill,N/A
Senate bill S-1,An Act relating to railways,"35th Parliament, 2nd session",35,1,"February 27, 1996 to April 27, 1997",1996-02-27,Senate Government Bill,Sen. Joyce Fairbairn,Introduced as pro forma bill,N/A
Senate bill S-2,An Act to amend the Indian Act (new registration entitlements),"45th Parliament, 1st session",45,1,"May 26, 2025 to present",2025-05-26,Senate Government Bill,Sen. Marc Gold,At second reading in the Senate,"Debate at second reading on June 11, 2025 (Senate)"
Senate bill S-2,An Act to amend the Parliament of Canada Act and to make consequential and related amendments to other Acts,"44th Parliament, 1st session",44,1,"November 22, 2021 to January 6, 2025",2021-11-22,Senate Government Bill,Sen. Marc Gold,Senate bill awaiting first reading in the House of Commons,"Third reading on December 7, 2021 (Senate)"
Senate bill S-2,An Act to amend the Chemical Weapons Convention Implementation Act,"43rd Parliament, 2nd session",43,1,"September 23, 2020 to August 15, 2021",2020-09-23,Senate Government Bill,Sen. Marc Gold,At second reading in the House of Commons,"First reading on February 25, 2021 (House of Commons)"
Senate bill S-2,An Act to amend the Motor Vehicle Safety Act and to make a consequential amendment to another Act,"42nd Parliament, 1st session",42,1,"December 3, 2015 to September 11, 2019",2015-12-03,Senate Government Bill,Sen. Peter Harder,Royal assent received,"Royal assent on March 1, 2018 (Senate)"
Senate bill S-2,An Act to amend the Statutory Instruments Act and to make consequential amendments to the Statutory Instruments Regulations,"41st Parliament, 2nd session",41,1,"October 16, 2013 to August 2, 2015",2013-10-16,Senate Government Bill,Sen. Claude Carignan,Royal assent received,"Debate at third reading on June 18, 2015 (House of Commons)"
Senate bill S-2,An Act respecting family homes situated on First Nation reserves and matrimonial interests or rights in or to structures and lands situated on those reserves,"41st Parliament, 1st session",41,1,"June 2, 2011 to September 13, 2013",2011-06-02,Senate Government Bill,Sen. Marjory LeBreton,Royal assent received,"Royal assent on June 19, 2013 (Senate)"
Senate bill S-2,An Act to amend the Criminal Code and other Acts,"40th Parliament, 3rd session",40,1,"March 3, 2010 to March 26, 2011",2010-03-03,Senate Government Bill,Sen. Marjory LeBreton,Royal assent received,"Royal assent on December 15, 2010 (Senate)"
Senate bill S-2,An Act to amend the Customs Act,"40th Parliament, 2nd session",40,1,"January 26, 2009 to December 30, 2009",2009-01-26,Senate Government Bill,Sen. Marjory LeBreton,Royal assent received,"Royal assent on June 11, 2009 (Senate)"
Senate bill S-2,An Act to amend the Customs Act,"40th Parliament, 1st session",40,1,"November 18, 2008 to December 4, 2008",2008-11-18,Senate Government Bill,Sen. Marjory LeBreton,At second reading in the Senate,"Introduction and first reading on December 2, 2008 (Senate)"
Senate bill S-2,"An Act to amend the Canada-United States Tax Convention Act, 1984","39th Parliament, 2nd session",39,1,"October 16, 2007 to September 7, 2008",2007-10-16,Senate Government Bill,Sen. Marjory LeBreton,Royal assent received,"Royal assent on December 14, 2007 (Senate)"
Senate bill S-2,An Act to amend the Hazardous Materials Information Review Act,"39th Parliament, 1st session",39,1,"April 3, 2006 to September 14, 2007",2006-04-03,Senate Government Bill,Sen. Marjory LeBreton,Royal assent received,"Royal assent on March 29, 2007 (Senate)"
Senate bill S-2,An Act to amend the Citizenship Act,"38th Parliament, 1st session",38,1,"October 4, 2004 to November 29, 2005",2004-10-04,Senate Public Bill,Sen. Noël A. Kinsella,Royal assent received,"Royal assent on May 5, 2005 (Senate)"
Senate bill S-2,An Act to prevent unsolicited messages on the Internet,"37th Parliament, 3rd session",37,1,"February 2, 2004 to May 23, 2004",2004-02-02,Senate Public Bill,Sen. Donald H. Oliver,At consideration in committee in the Senate,"Referral to committee on March 23, 2004 (Senate)"
Senate bill S-2,"An Act to implement an agreement, conventions and protocols concluded between Canada and Kuwait, Mongolia, the United Arab Emirates, Moldova, Norway, Belgium and Italy for the avoidance of double taxation and the prevention of fiscal evasion and to amend the enacted text of three tax treaties","37th Parliament, 2nd session",37,1,"September 30, 2002 to November 12, 2003",2002-09-30,Senate Government Bill,Sen. Sharon Carstairs,Royal assent received,"Royal assent on December 12, 2002 (Senate)"
Senate bill S-2,"An Act respecting marine liability, and to validate certain by-laws and regulations","37th Parliament, 1st session",37,1,"January 29, 2001 to September 16, 2002",2001-01-29,Senate Government Bill,Sen. Sharon Carstairs,Royal assent received,"Royal assent on May 10, 2001 (Senate)"
Senate bill S-2,An Act to facilitate the making of legitimate medical decisions regarding life-sustaining treatments and the controlling of pain,"36th Parliament, 2nd session",36,1,"October 12, 1999 to October 22, 2000",1999-10-12,Senate Public Bill,Sen. Sharon Carstairs,At consideration in committee in the Senate,N/A
Senate bill S-2,An Act to amend the Canadian Transportation Accident Investigation and Safety Board Act and to make a consequential amendment to another Act,"36th Parliament, 1st session",36,1,"September 22, 1997 to September 18, 1999",1997-09-22,Senate Government Bill,N/A,Royal assent received,N/A
Senate bill S-2,An Act to amend the Canadian Human Rights Act (Sexual orientation),"35th Parliament, 2nd session",35,1,"February 27, 1996 to April 27, 1997",1996-02-27,Senate Public Bill,Sen. Noël A. Kinsella,Senate bill awaiting first reading in the House of Commons,N/A
Senate bill S-2,"An Act to implement a Convention between Canada and the Republic of Hungary, an agreement between Canada and the Federal Republic of Nigeria, an agreement between Canada and the Republic of Zimbabwe, a convention between Canada and the Argentine Republic and a protocol between Canada and the Kingdom of the Netherlands for the avoidance of double Taxation and the prevention of fiscal evasion with respect to income taxes and to make related amendments to other Acts","35th Parliament, 1st session",35,1,"January 17, 1994 to February 2, 1996",1994-01-17,Senate Government Bill,Sen. Joyce Fairbairn,Royal assent received,N/A
Senate bill S-3,An Act to amend the Judges Act,"44th Parliament, 1st session",44,1,"November 22, 2021 to January 6, 2025",2021-11-22,Senate Government Bill,Sen. Marc Gold,Bill not proceeded with,"Dropped from the Senate Order Paper on December 15, 2021 (Senate)"
